acc,PR_macro,RE_macro,f1_macro,AUC_macro,AUPR_macro,loss
0.0844473126210012,0.2869780090164992,0.0311643641697496,0.02464215627361137,0.5817597296142567,0.02348534770465605,15.18370973923627
0.16271780215727852,0.6079292906135807,0.0622015363322768,0.05098384554870392,0.7134553656002738,0.05007504915691647,13.225427307802088
0.2043883101318337,0.5867500788574711,0.0841933882791906,0.0738874929082961,0.7804787502634063,0.07513059171774451,12.346728352939381
0.23140038720383516,0.5461698489844582,0.10197447522881442,0.09220313788746283,0.8172667973233635,0.09042711021998161,11.683708768732407
0.2524200239697612,0.5229725406369429,0.11599086303155622,0.10961388094017811,0.8484155600012429,0.1104174278760012,11.15401034635656
0.27067391905596017,0.5330709293986884,0.12536558074037973,0.11898589714558051,0.8684500286338676,0.12734650726506963,10.732155064975514
0.2913247902645893,0.5371856102931494,0.14022060191926555,0.13530556925604484,0.8819693712279907,0.14071875328609132,10.349667588402243
0.3074582833963308,0.5483110385495119,0.154503662762111,0.15097585407015723,0.8906543201119674,0.15676431184128625,10.005924064972822
0.33050613072739005,0.4986098155136092,0.1697505093550945,0.16810256972054666,0.9069628369209487,0.17801162207409085,9.605927327099968
0.34857564303494054,0.5132774285085175,0.17866083176051334,0.17575811650614018,0.9119930635644476,0.19043533289349265,9.288781017415664
0.3560431455702037,0.4990992737622754,0.1878674999323387,0.18766368748711718,0.9223573483129851,0.2089419525711962,8.926352677625768
0.3714391075873513,0.5596163936742501,0.20809957633494655,0.21024789787373446,0.9316747740532736,0.22568190673719826,8.640029912836411
0.39356504102516826,0.5021151116199402,0.21773830617774256,0.2192412067957683,0.9338744736223658,0.2378964193277377,8.332024431228637
0.4021388402323223,0.5391803663621473,0.2318206027444277,0.23872310566434846,0.9388092640881571,0.25229898983025345,8.104529523849488
0.41818014197473957,0.5306264533819253,0.24227709001286132,0.24751053811250906,0.9449689998074763,0.2799996269406368,7.791902917974135
0.43551212316769616,0.5058372559038292,0.2572566181963271,0.26442461367218895,0.949771316712503,0.2964926529784488,7.571770945717307
